Content ID,Type,Datetime
97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,11/7/2020 9:43
97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,6/17/2021 12:22
97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,4/18/2021 5:13
97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,1/6/2021 19:13
97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,8/23/2020 12:25
97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,12/7/2020 6:27
97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,4/11/2021 17:35
97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,1/27/2021 8:32
97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,4/1/2021 22:54
97522e57-d9ab-4bd6-97bf-c24d952602d2,love,8/4/2020 5:05
97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,11/7/2020 8:36
97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,11/2/2020 6:28
97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,11/1/2020 1:16
97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,10/7/2020 18:39
97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,9/3/2020 18:51
97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,2/24/2021 5:09
97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,9/23/2020 6:24
97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,2/24/2021 11:37
97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,5/22/2021 19:44
97522e57-d9ab-4bd6-97bf-c24d952602d2,intrigued,1/31/2021 16:03
97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,11/20/2020 17:26
97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,4/11/2021 20:47
97522e57-d9ab-4bd6-97bf-c24d952602d2,like,6/13/2021 16:46
97522e57-d9ab-4bd6-97bf-c24d952602d2,heart,4/11/2021 14:29
97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,3/2/2021 19:21
97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,6/27/2020 18:44
